Scenario,Country,Taxa,Area,Min,TukeyLH,Median,TukeyUH,Max
IR,TZA,All,IPL,0,0,0,0,4.768126018461771e-6
SR,THA,All,IPL,0,1,1,1,2
TS,THA,All,IPL,0,1,1,32,32
IR,THA,All,IPL,0,0,0,8.991455615614541e-7,0.2500046491622925
SR,VEN,All,IPL,0,3,6,6,9
TS,VEN,All,IPL,0,2,2,2,9.333333015441896
IR,VEN,All,IPL,0,2.327086150444302e-7,3.1600779948348645e-7,3.954165777031449e-7,0.0238096360117197
SR,USA,All,IPL,0,0,0,0,2
TS,USA,All,IPL,0,0,0,0,2
IR,USA,All,IPL,0,0,0,0,3.8790776670794e-6
