Species,Class,Category,Habitat,PopTrend,Rep_AOO_km2,Rep_EOO_km2,Elev_lower,Elev_upper,ForestDependency,Unprotected_km2,PA_km2,IL_km2,PIA_km2,total_km2,fracPA,fracIL,fracPIA,fracUnPro,ThreatScore
Acanthixalus sonjae,AMPHIBIA,VU,Forest important,Decreasing,1999,96761.26,NA,NA,NA,1782,5662,0,0,7444,0.760612573885008,0,0,0.23938742611499195,8
Adenomera coca,AMPHIBIA,LC,Forest important,Stable,NA,82,200,1100,NA,60,49,0,0,109,0.44954128440366975,0,0,0.5504587155963303,2
Allobates amissibilis,AMPHIBIA,VU,Forest important,Decreasing,NA,141.7,-140,1250,NA,0,199,0,0,199,1,0,0,0,8
Allobates bromelicola,AMPHIBIA,VU,Forest important,Unknown,NA,8,1010,1800,NA,5,33,0,0,38,0.868421052631579,0,0,0.13157894736842105,8
Allobates nidicola,AMPHIBIA,DD,Forest unimportant,Unknown,NA,NA,NA,NA,NA,24,0,0,0,24,0,0,0,1,8
Allobates sanmartini,AMPHIBIA,DD,Forest unimportant,Unknown,NA,NA,-240,400,NA,0,361,0,18,379,0.9525065963060686,0,0.04749340369393139,0,8
Anilany helenae,AMPHIBIA,CR,Forest important,Decreasing,NA,29.4,1200,NA,NA,0,9,0,0,9,1,0,0,0,32
Anodonthyla emilei,AMPHIBIA,EN,Forest important,Decreasing,NA,824,600,1300,NA,119,496,0,0,615,0.8065040650406504,0,0,0.1934959349593496,16
Anodonthyla jeanbai,AMPHIBIA,EN,Forest important,Decreasing,NA,963,1248,1848,NA,0,18,0,0,18,1,0,0,0,16
Anodonthyla moramora,AMPHIBIA,EN,Forest important,Decreasing,NA,685,250,1300,NA,119,498,0,0,617,0.807131280388979,0,0,0.19286871961102103,16
Anodonthyla rouxae,AMPHIBIA,EN,Forest important,Unknown,NA,795,1248,2200,NA,87,8,0,0,95,0.08421052631578947,0,0,0.9157894736842104,16
Aphantophryne nana,AMPHIBIA,NT,Forest important,Stable,NA,812.1,0,1500,NA,118,43,0,0,161,0.2670807453416149,0,0,0.7329192546583851,4
Barygenys cheesmanae,AMPHIBIA,DD,Forest important,Unknown,NA,NA,1770,2890,NA,85,0,0,0,85,0,0,0,1,3
Barygenys flavigularis,AMPHIBIA,DD,Forest important,Unknown,NA,NA,1800,2900,NA,12,10,0,0,22,0.4545454545454546,0,0,0.5454545454545454,3
Barygenys maculata,AMPHIBIA,LC,Forest important,Unknown,NA,1427,600,1825,NA,1088,0,0,0,1088,0,0,0,1,2
Barygenys resima,AMPHIBIA,LC,Forest important,Unknown,NA,79,0,630,NA,2372,0,0,0,2372,0,0,0,1,2
Boana curupi,AMPHIBIA,LC,Forest unimportant,Unknown,NA,NA,0,1000,NA,0,0,2464,52,2516,0,0.9793322734499204,0.02066772655007949,0,2
Bolitoglossa copia,AMPHIBIA,CR,Forest important,Unknown,4,4,1015,1615,NA,0,4,0,0,4,1,0,0,0,32
Austrochaperina adamantina,AMPHIBIA,NT,Forest important,Unknown,NA,208,40,1850,NA,2274,0,0,0,2274,0,0,0,1,4
Austrochaperina aquilonia,AMPHIBIA,NT,Forest unimportant,Unknown,NA,181,430,1720,NA,2145,0,0,0,2145,0,0,0,1,4
Austrochaperina archboldi,AMPHIBIA,DD,Forest unimportant,Unknown,NA,NA,1100,1700,NA,197,0,0,0,197,0,0,0,1,3
Bolitoglossa diminuta,AMPHIBIA,LC,Forest important,Stable,NA,16,1000,1950,NA,0,28,0,0,28,1,0,0,0,2
Bolitoglossa eremia,AMPHIBIA,EN,Forest important,Decreasing,NA,241,1315,2960,NA,0,0,19,0,19,0,1,0,0,16
Bolitoglossa obscura,AMPHIBIA,DD,Forest important,Unknown,NA,NA,1255,1855,NA,0,17,0,0,17,1,0,0,0,11
Bolitoglossa suchitanensis,AMPHIBIA,CR,Forest important,Unknown,4,8,1550,2320,NA,0,10,0,0,10,1,0,0,0,32
Bolitoglossa pacaya,AMPHIBIA,EN,Forest important,Decreasing,NA,661,1400,2600,NA,101,14,0,0,115,0.1217391304347826,0,0,0.8782608695652174,16
Bryophryne hanssaueri,AMPHIBIA,LC,Forest important,Stable,NA,28.9,2800,4000,NA,9,17,0,0,26,0.6538461538461539,0,0,0.34615384615384615,2
Bryophryne phuyuhampatu,AMPHIBIA,LC,Forest important,Unknown,NA,10.3,2495,3150,NA,2,3,0,0,5,0.6,0,0,0.4,2
Bolitoglossa tica,AMPHIBIA,DD,Forest important,Unknown,NA,96,1445,2800,NA,5,27,0,0,32,0.84375,0,0,0.15625,11
Bolitoglossa veracrucis,AMPHIBIA,EN,Forest important,Decreasing,2586,3083.99,-300,800,NA,1788,19,706,12,2525,0.00752475247524752,0.27960396039603963,0.00475247524752475,0.7081188118811881,16
Bolitoglossa yariguiensis,AMPHIBIA,EN,Forest important,Decreasing,NA,138.73,464,1773,NA,0,153,0,0,153,1,0,0,0,16
Caecilia pressula,AMPHIBIA,DD,Forest unimportant,Unknown,NA,NA,-50,550,NA,262,0,0,0,262,0,0,0,1,3
Bolitoglossa zapoteca,AMPHIBIA,EN,Forest important,Unknown,NA,435,1575,2175,NA,0,0,80,0,80,0,1,0,0,16
Brachycephalus alipioi,AMPHIBIA,DD,Forest important,Unknown,NA,NA,615,1215,NA,161,0,0,0,161,0,0,0,1,3
Brachycephalus brunneus,AMPHIBIA,DD,Forest unimportant,Unknown,NA,NA,NA,NA,NA,21,0,0,0,21,0,0,0,1,3
Chiropterotriton miquihuanus,AMPHIBIA,EN,Forest important,Stable,NA,375,2311,3381,NA,175,42,0,0,217,0.1935483870967742,0,0,0.8064516129032258,16
Chiropterotriton nubilus,AMPHIBIA,CR,Forest important,Unknown,NA,78,1220,2323,NA,116,1,0,0,117,0.00854700854700854,0,0,0.9914529914529916,32
Chiropterotriton orculus,AMPHIBIA,VU,Forest important,Decreasing,NA,14592,2200,3500,NA,1836,955,174,222,3187,0.29965484781926577,0.05459679949796046,0.06965798556636335,0.5760903671164104,8
Callulops marmoratus,AMPHIBIA,DD,Forest unimportant,Unknown,NA,NA,550,1200,NA,0,203,0,0,203,1,0,0,0,3
Chiropterotriton perotensis,AMPHIBIA,CR,Forest important,Decreasing,NA,26,2650,4315,NA,14,19,0,0,33,0.5757575757575758,0,0,0.42424242424242425,32
Callulops mediodiscus,AMPHIBIA,LC,Forest important,Unknown,NA,404,1300,2050,NA,29,0,0,0,29,0,0,0,1,2
Callulops neuhaussi,AMPHIBIA,DD,Forest unimportant,Unknown,NA,NA,400,1000,NA,16,0,0,0,16,0,0,0,1,11
Choerophryne allisoni,AMPHIBIA,DD,Forest important,Unknown,NA,NA,1700,2800,NA,107,0,0,0,107,0,0,0,1,3
Callulops stellatus,AMPHIBIA,LC,Forest unimportant,Stable,NA,727,-110,830,NA,739,0,0,0,739,0,0,0,1,2
Choerophryne amomani,AMPHIBIA,DD,Forest important,Unknown,NA,NA,750,1500,NA,0,0,0,8,8,0,0,1,0,3
Choerophryne arndtorum,AMPHIBIA,DD,Forest important,Unknown,NA,NA,200,1000,NA,0,0,6,9,15,0,0.4,0.6,0,3
Choerophryne bickfordi,AMPHIBIA,LC,Forest unimportant,Stable,NA,15,-225,600,NA,0,28,0,0,28,1,0,0,0,2
Callulops valvifer,AMPHIBIA,LC,Forest important,Stable,NA,6868,0,1200,NA,166,56,2108,281,2611,0.02144772117962466,0.8073535044044428,0.10762160091918806,0.06357717349674455,2
Callulops yapenensis,AMPHIBIA,DD,Forest important,Unknown,NA,NA,0,1000,NA,0,0,8,10,18,0,0.4444444444444444,0.5555555555555556,0,11
Choerophryne murrita,AMPHIBIA,LC,Forest important,Stable,NA,2432,1100,2480,NA,1544,1,0,0,1545,6.472491909385113e-4,0,0,0.9993527508090616,2
Choerophryne nigrescens,AMPHIBIA,DD,Forest important,Unknown,NA,NA,-295,1120,NA,0,0,8,10,18,0,0.4444444444444444,0.5555555555555556,0,3
Choerophryne pipiens,AMPHIBIA,LC,Forest important,Unknown,NA,NA,1300,1900,NA,0,0,0,18,18,0,0,1,0,2
Choerophryne sanguinopicta,AMPHIBIA,CR,Forest important,Decreasing,NA,26,1100,1840,NA,25,0,0,0,25,0,0,0,1,32
Choerophryne siegfriedi,AMPHIBIA,CR,Forest important,Decreasing,NA,10,2100,2800,NA,25,0,0,0,25,0,0,0,1,32
Choerophryne tubercula,AMPHIBIA,DD,Forest important,Unknown,NA,NA,1325,1925,NA,14,0,0,0,14,0,0,0,1,11
Cophixalus ateles,AMPHIBIA,LC,Forest important,Stable,NA,482,300,2170,NA,624,0,0,0,624,0,0,0,1,2
Cophixalus balbus,AMPHIBIA,LC,Forest important,Decreasing,NA,NA,-90,1500,NA,24167,1369,4915,1063,31514,0.04344101034460874,0.1559624293964587,0.03373104017262169,0.7668655200863108,2
Cophixalus neglectus,AMPHIBIA,EN,Forest unimportant,Decreasing,NA,NA,NA,NA,NA,83,160,6,504,753,0.21248339973439576,0.00796812749003984,0.6693227091633466,0.1102257636122178,16
Cophyla puellarum,AMPHIBIA,CR,Forest important,Decreasing,NA,30,946,1606,NA,0,49,0,0,49,1,0,0,0,32
Cophixalus phaeobalius,AMPHIBIA,LC,Forest important,Unknown,NA,10,1100,1820,NA,3,10,0,0,13,0.7692307692307693,0,0,0.2307692307692308,2
Copiula annanoreenae,AMPHIBIA,LC,Forest important,Stable,NA,NA,1300,1900,NA,10,0,0,0,10,0,0,0,1,2
Cophixalus pulchellus,AMPHIBIA,DD,Forest important,Unknown,NA,NA,700,1300,NA,0,13,0,0,13,1,0,0,0,3
Copiula exspectata,AMPHIBIA,DD,Forest important,Unknown,NA,NA,320,980,NA,0,8,0,0,8,1,0,0,0,3
Cophixalus tagulensis,AMPHIBIA,DD,Forest important,Unknown,NA,NA,-50,650,NA,55,0,0,0,55,0,0,0,1,3
Cophixalus tetzlaffi,AMPHIBIA,DD,Forest important,Unknown,NA,NA,100,1200,NA,0,0,8,0,8,0,1,0,0,3
Copiula minor,AMPHIBIA,LC,Forest important,Unknown,NA,140,1300,1900,NA,0,76,0,0,76,1,0,0,0,2
Cornufer mamusiorum,AMPHIBIA,LC,Forest important,Stable,NA,140,1200,2000,NA,22,0,0,0,22,0,0,0,1,2
Cornufer minutus,AMPHIBIA,VU,Forest important,Unknown,NA,17377,-300,1300,NA,10927,0,0,0,10927,0,0,0,1,8
Cornufer montanus,AMPHIBIA,LC,Forest important,Stable,NA,4301,600,1500,NA,1498,0,0,0,1498,0,0,0,1,2
Cornufer myersi,AMPHIBIA,LC,Forest important,Unknown,NA,4301.12,400,1800,NA,2122,0,0,0,2122,0,0,0,1,2
Dendrobates nubeculosus,AMPHIBIA,DD,Forest unimportant,Unknown,NA,NA,-293,307,NA,21,0,0,0,21,0,0,0,1,3
Dendrophryniscus carvalhoi,AMPHIBIA,EN,Forest unimportant,Decreasing,NA,NA,NA,NA,NA,704,15,0,0,719,0.02086230876216968,0,0,0.9791376912378305,16
Crossodactylodes bokermanni,AMPHIBIA,NT,Forest unimportant,Decreasing,NA,NA,NA,NA,NA,2114,13,0,0,2127,0.00611189468735307,0,0,0.9938881053126468,4
Ecnomiohyla minera,AMPHIBIA,VU,Forest important,Decreasing,NA,17323,330,2130,NA,13,18,41,12,84,0.21428571428571427,0.4880952380952381,0.14285714285714285,0.15476190476190477,8
Crossodactylodes izecksohni,AMPHIBIA,NT,Forest unimportant,Stable,NA,NA,NA,NA,NA,53,0,0,0,53,0,0,0,1,4
Dendrophryniscus stawiarskyi,AMPHIBIA,DD,Forest unimportant,Unknown,NA,NA,NA,NA,NA,96,0,0,0,96,0,0,0,1,3
Cryptotriton alvarezdeltoroi,AMPHIBIA,EN,Forest important,Decreasing,NA,309,900,1850,NA,47,0,51,0,98,0,0.5204081632653061,0,0.47959183673469385,16
Dendrotriton bromeliacius,AMPHIBIA,CR,Forest important,Decreasing,NA,73,1400,3150,NA,0,0,49,55,104,0,0.47115384615384615,0.5288461538461539,0,32
Cryptotriton monzoni,AMPHIBIA,CR,Forest important,Decreasing,NA,68,922,1870,NA,18,1,5,13,37,0.02702702702702703,0.13513513513513514,0.35135135135135137,0.4864864864864865,32
Dendrotriton chujorum,AMPHIBIA,CR,Forest important,Unknown,NA,17,2329,3099,NA,0,0,14,0,14,0,1,0,0,32
Ecnomiohyla veraguensis,AMPHIBIA,VU,Forest important,Decreasing,NA,12000,-70,840,NA,334,79,349,561,1323,0.05971277399848828,0.2637944066515495,0.42403628117913833,0.25245653817082386,8
Dendrotriton cuchumatanus,AMPHIBIA,CR,Forest important,Decreasing,NA,11,2560,3160,NA,0,0,14,1,15,0,0.9333333333333332,0.06666666666666667,0,32
Dendrotriton kekchiorum,AMPHIBIA,CR,Forest important,Decreasing,NA,58,1800,2990,NA,0,0,31,0,31,0,1,0,0,32
Eleutherodactylus adelus,AMPHIBIA,EN,Forest unimportant,Decreasing,NA,NA,NA,NA,NA,59,0,0,0,59,0,0,0,1,16
Dendrotriton megarhinus,AMPHIBIA,VU,Forest important,Unknown,4,4,1700,2700,NA,0,11,0,0,11,1,0,0,0,8
Eleutherodactylus albipes,AMPHIBIA,CR,Forest unimportant,Decreasing,NA,NA,NA,NA,NA,23,42,0,0,65,0.6461538461538462,0,0,0.35384615384615387,32
Eleutherodactylus alticola,AMPHIBIA,CR,Forest important,Decreasing,NA,60.98,1250,2550,NA,4,62,0,0,66,0.9393939393939394,0,0,0.06060606060606061,32
Dendrotriton xolocalcae,AMPHIBIA,VU,Forest important,Stable,NA,130,1700,2500,NA,1,40,0,0,41,0.975609756097561,0,0,0.02439024390243902,8
Eleutherodactylus amadeus,AMPHIBIA,CR,Forest unimportant,Decreasing,NA,NA,NA,NA,NA,355,165,0,0,520,0.3173076923076923,0,0,0.6826923076923077,32
Eleutherodactylus andrewsi,AMPHIBIA,EN,Forest important,Decreasing,NA,221.4,100,2270,NA,72,230,0,0,302,0.7615894039735099,0,0,0.2384105960264901,16
Eleutherodactylus glamyrus,AMPHIBIA,EN,Forest unimportant,Decreasing,NA,NA,NA,NA,NA,42,192,0,0,234,0.8205128205128205,0,0,0.1794871794871795,16
Eleutherodactylus glanduliferoides,AMPHIBIA,CR,Forest important,Decreasing,NA,NA,1215,2421,NA,11,0,0,0,11,0,0,0,1,32
Eleutherodactylus griphus,AMPHIBIA,EN,Forest important,Decreasing,NA,314.8,-50,940,NA,170,257,0,0,427,0.6018735362997658,0,0,0.3981264637002342,16
Eleutherodactylus gryllus,AMPHIBIA,CR,Forest important,Decreasing,NA,98.8,354,1349,NA,6,31,0,0,37,0.8378378378378378,0,0,0.16216216216216217,32
Eleutherodactylus haitianus,AMPHIBIA,EN,Forest unimportant,Decreasing,NA,NA,NA,NA,NA,740,1457,0,0,2197,0.6631770596267638,0,0,0.33682294037323623,16
Eleutherodactylus hedricki,AMPHIBIA,EN,Forest important,Decreasing,NA,428.5,155,1452,NA,17,32,0,0,49,0.6530612244897959,0,0,0.3469387755102041,16
Eleutherodactylus nubicola,AMPHIBIA,EN,Forest important,Decreasing,NA,242.3,760,2180,NA,43,159,0,0,202,0.7871287128712872,0,0,0.2128712871287129,16
Eleutherodactylus orientalis,AMPHIBIA,CR,Forest unimportant,Decreasing,NA,NA,NA,NA,NA,0,35,0,0,35,1,0,0,0,32
Eleutherodactylus parapelates,AMPHIBIA,CR,Forest important,Unknown,NA,NA,650,1350,NA,238,19,0,0,257,0.07392996108949416,0,0,0.926070038910506,32
Eleutherodactylus patriciae,AMPHIBIA,EN,Forest unimportant,Decreasing,NA,NA,NA,NA,NA,189,1954,0,0,2143,0.9118058796080262,0,0,0.08819412039197387,16
Eleutherodactylus poolei,AMPHIBIA,CR,Forest important,Unknown,NA,NA,250,950,NA,22,0,0,0,22,0,0,0,1,32
Eleutherodactylus portoricensis,AMPHIBIA,EN,Forest important,Decreasing,NA,625.31,208,1482,NA,134,34,0,0,168,0.2023809523809524,0,0,0.7976190476190477,16
Eleutherodactylus ventrilineatus,AMPHIBIA,CR,Forest important,Unknown,NA,NA,1400,2640,NA,0,19,0,0,19,1,0,0,0,32
Eleutherodactylus wightmanae,AMPHIBIA,EN,Forest important,Decreasing,NA,3749.7,-150,1489,NA,1873,154,0,0,2027,0.07597434632461766,0,0,0.9240256536753824,16
Eleutherodactylus wixarika,AMPHIBIA,EN,Forest important,Decreasing,NA,182,2100,2800,NA,0,0,0,77,77,0,0,1,0,16
Gracixalus tianlinensis,AMPHIBIA,DD,Forest important,Unknown,NA,NA,1558,2158,NA,0,0,9,0,9,0,1,0,0,11
Gastrotheca zeugocystis,AMPHIBIA,DD,Forest important,Decreasing,NA,NA,2620,3220,NA,1,0,11,0,12,0,0.9166666666666666,0,0.08333333333333333,11
Euparkerella tridactyla,AMPHIBIA,VU,Forest unimportant,Stable,NA,NA,NA,NA,NA,10,0,0,0,10,0,0,0,1,8
Gegeneophis nadkarnii,AMPHIBIA,DD,Forest unimportant,Unknown,NA,NA,NA,NA,NA,22,0,0,0,22,0,0,0,1,11
Guibemantis punctatus,AMPHIBIA,CR,Forest important,Decreasing,NA,65,NA,NA,NA,23,64,0,0,87,0.735632183908046,0,0,0.26436781609195403,32
Gastrotheca antoniiochoai,AMPHIBIA,DD,Forest important,Unknown,NA,24.07,2500,3600,NA,18,17,0,0,35,0.4857142857142857,0,0,0.5142857142857142,24
Gastrotheca atympana,AMPHIBIA,VU,Forest important,Unknown,NA,NA,1240,1840,NA,5,4,0,0,9,0.4444444444444444,0,0,0.5555555555555556,8
Hemiphractus johnsoni,AMPHIBIA,EN,Forest important,Decreasing,NA,848.84,1050,2300,NA,50,5,0,0,55,0.09090909090909093,0,0,0.9090909090909092,16
Hyloscirtus albopunctulatus,AMPHIBIA,LC,Forest important,Decreasing,NA,179453.8,NA,600,NA,10575,7187,19284,12563,49609,0.14487290612590456,0.38871978874800944,0.25324033945453445,0.21316696567155152,2
Isthmura corrugata,AMPHIBIA,CR,Forest important,Unknown,NA,9,1806,2406,NA,11,0,0,0,11,0,0,0,1,32
Litoria pinocchio,AMPHIBIA,DD,Forest unimportant,Unknown,NA,NA,950,1550,NA,0,0,0,16,16,0,0,1,0,11
Isthmura naucampatepetl,AMPHIBIA,CR,Forest important,Decreasing,NA,59,2200,3300,NA,15,0,28,0,43,0,0.6511627906976745,0,0.3488372093023256,32
Litoria singadanae,AMPHIBIA,LC,Forest important,Unknown,NA,10,980,1580,NA,4134,51,0,0,4185,0.01218637992831541,0,0,0.9878136200716846,2
Isthmura sierraoccidentalis,AMPHIBIA,VU,Forest important,Unknown,NA,6350,1000,2100,NA,25,0,5,0,30,0,0.16666666666666666,0,0.8333333333333334,8
Liuixalus feii,AMPHIBIA,LC,Forest important,Stable,NA,682,50,1463,NA,20,0,23,0,43,0,0.5348837209302325,0,0.46511627906976744,2
Ixalotriton parvus,AMPHIBIA,CR,Forest important,Decreasing,9.93,9.93,1300,NA,NA,22,2,0,0,24,0.08333333333333333,0,0,0.9166666666666666,32
Incilius karenlipsae,AMPHIBIA,DD,Forest important,Unknown,NA,NA,550,1150,NA,2,19,0,0,21,0.9047619047619048,0,0,0.09523809523809525,3
Lynchius nebulanastes,AMPHIBIA,EN,Forest important,Decreasing,NA,79,2470,3120,NA,8,1,14,0,23,0.04347826086956521,0.6086956521739131,0,0.34782608695652173,16
Kalophrynus barioensis,AMPHIBIA,DD,Forest important,Unknown,NA,NA,841,1441,NA,0,0,16,0,16,0,1,0,0,11
Kalophrynus calciphilus,AMPHIBIA,LC,Forest important,Stable,NA,NA,-230,1500,NA,0,0,0,20,20,0,0,1,0,2
Ischnocnema epipeda,AMPHIBIA,NT,Forest unimportant,Decreasing,NA,NA,NA,NA,NA,10,0,0,0,10,0,0,0,1,4
Kalophrynus honbaensis,AMPHIBIA,VU,Forest important,Unknown,NA,14,1200,1800,NA,0,0,0,13,13,0,0,1,0,8
Ischnocnema gualteri,AMPHIBIA,LC,Forest unimportant,Decreasing,NA,NA,NA,NA,NA,797,618,0,0,1415,0.4367491166077738,0,0,0.5632508833922262,2
Megophrys obesa,AMPHIBIA,CR,Forest important,Decreasing,NA,40.01,99,734,NA,46,0,0,0,46,0,0,0,1,32
Melanophryniscus alipioi,AMPHIBIA,DD,Forest important,Unknown,NA,NA,1100,NA,NA,14,0,0,0,14,0,0,0,1,8
Nototriton oreadorum,AMPHIBIA,CR,Forest important,Decreasing,NA,91.12,900,1840,NA,0,8,0,0,8,1,0,0,0,32
Oedipina tzutujilorum,AMPHIBIA,EN,Forest important,Decreasing,NA,100,858,2129,NA,0,0,7,126,133,0,0.05263157894736842,0.9473684210526316,0,16
Nectophrynoides frontierei,AMPHIBIA,DD,Forest unimportant,Unknown,NA,NA,620,1250,NA,3,2,0,0,5,0.4,0,0,0.6,24
Ololygon arduous,AMPHIBIA,DD,Forest unimportant,Decreasing,NA,NA,NA,NA,NA,29,0,0,0,29,0,0,0,1,11
Nectophrynoides laticeps,AMPHIBIA,CR,Forest important,Decreasing,NA,17,1500,2500,NA,5,26,0,0,31,0.8387096774193549,0,0,0.16129032258064516,32
Nectophrynoides minutus,AMPHIBIA,EN,Forest important,Decreasing,NA,492,900,1800,NA,201,127,0,0,328,0.3871951219512195,0,0,0.6128048780487805,16
Nototriton stuarti,AMPHIBIA,CR,Forest important,Decreasing,NA,73,474,1476,NA,0,22,0,0,22,1,0,0,0,32
Ololygon melloi,AMPHIBIA,DD,Forest unimportant,Unknown,NA,NA,NA,NA,NA,846,551,0,0,1397,0.39441660701503223,0,0,0.6055833929849678,11
Nectophrynoides paulae,AMPHIBIA,CR,Forest important,Decreasing,NA,18,1500,2100,NA,5,27,0,0,32,0.84375,0,0,0.15625,32
Nototriton tomamorum,AMPHIBIA,CR,Forest important,Decreasing,NA,10,1250,1850,NA,0,17,0,0,17,1,0,0,0,32
Nectophrynoides pseudotornieri,AMPHIBIA,CR,Forest important,Unknown,38.5,38.5,780,1645,NA,38,23,0,0,61,0.3770491803278688,0,0,0.6229508196721312,32
Nyctanolis pernix,AMPHIBIA,VU,Forest important,Decreasing,NA,8486,900,2465,NA,41,41,394,30,506,0.08102766798418973,0.7786561264822134,0.05928853754940711,0.08102766798418973,8
Oreophryne asplenicola,AMPHIBIA,DD,Forest important,Unknown,NA,NA,300,980,NA,0,0,0,4,4,0,0,1,0,3
Niceforonia fallaciosa,AMPHIBIA,DD,Forest important,Unknown,NA,NA,2860,3580,NA,0,121,4,0,125,0.968,0.032,0,0,11
Oreophryne brunnea,AMPHIBIA,LC,Forest important,Stable,NA,225,520,1730,NA,1844,0,0,0,1844,0,0,0,1,2
Oedipina capitalina,AMPHIBIA,DD,Forest important,Unknown,NA,NA,920,1520,NA,2,0,0,0,2,0,0,0,1,11
Oreophryne cameroni,AMPHIBIA,EN,Forest important,Decreasing,NA,1318,250,1150,NA,4730,0,0,0,4730,0,0,0,1,16
Noblella carrascoicola,AMPHIBIA,LC,Forest important,Stable,NA,1895.24,1400,3000,NA,26,1505,0,0,1531,0.9830176355323318,0,0,0.01698236446766819,2
Noblella coloma,AMPHIBIA,DD,Forest important,Unknown,NA,NA,1500,2300,NA,17,0,0,0,17,0,0,0,1,24
Oreophryne choerophrynoides,AMPHIBIA,DD,Forest important,Unknown,NA,NA,400,1200,NA,0,0,3,18,21,0,0.14285714285714285,0.8571428571428571,0,11
Oreophryne clamata,AMPHIBIA,DD,Forest important,Unknown,NA,NA,450,1200,NA,0,0,0,6,6,0,0,1,0,3
Oreophryne minuta,AMPHIBIA,LC,Forest important,Stable,NA,NA,1700,2300,NA,0,0,11,0,11,0,1,0,0,2
Oreophryne curator,AMPHIBIA,LC,Forest important,Stable,NA,NA,1300,1900,NA,10,0,0,0,10,0,0,0,1,2
Philautus cornutus,AMPHIBIA,EN,Forest important,Unknown,NA,66.6,1230,2210,NA,2,33,0,6,41,0.8048780487804879,0,0.14634146341463414,0.04878048780487805,16
Philautus davidlabangi,AMPHIBIA,LC,Forest important,Unknown,NA,73656.59,-135,1149,NA,9,33,76,456,574,0.05749128919860627,0.13240418118466898,0.794425087108014,0.0156794425087108,2
Osteopilus crucialis,AMPHIBIA,VU,Forest important,Decreasing,NA,7551.1,-300,1500,NA,3284,552,0,0,3836,0.14389989572471323,0,0,0.8561001042752867,8
Oreophryne ezra,AMPHIBIA,CR,Forest important,Decreasing,4,4,330,1100,NA,3,0,0,0,3,0,0,0,1,32
Oreophryne penelopeia,AMPHIBIA,CR,Forest important,Decreasing,NA,10,680,1310,NA,12,0,0,0,12,0,0,0,1,32
Paedophryne amauensis,AMPHIBIA,LC,Forest important,Stable,NA,647,-123,1100,NA,3669,15,0,0,3684,0.00407166123778501,0,0,0.995928338762215,2
Phrynopus interstinctus,AMPHIBIA,DD,Forest important,Unknown,NA,NA,2800,3490,NA,2,4,0,0,6,0.6666666666666666,0,0,0.3333333333333333,24
Paedophryne dekot,AMPHIBIA,LC,Forest important,Stable,NA,10,600,1500,NA,958,0,0,0,958,0,0,0,1,2
Oreophryne phoebe,AMPHIBIA,VU,Forest important,Stable,NA,10,-120,480,NA,18,0,0,0,18,0,0,0,1,8
Phrynopus juninensis,AMPHIBIA,CR,Forest important,Decreasing,NA,10,3225,3825,NA,7,0,0,0,7,0,0,0,1,32
Paedophryne kathismaphlox,AMPHIBIA,CR,Forest important,Decreasing,NA,10,1870,2470,NA,11,0,0,0,11,0,0,0,1,32
Phrynopus kauneorum,AMPHIBIA,EN,Forest important,Decreasing,NA,309.02,2435,3680,NA,26,0,149,0,175,0,0.8514285714285714,0,0.14857142857142858,16
Paedophryne oyatabu,AMPHIBIA,DD,Forest important,Unknown,NA,10,1100,1700,NA,80,0,0,0,80,0,0,0,1,3
Oreophryne pseudasplenicola,AMPHIBIA,DD,Forest important,Unknown,NA,NA,500,1500,NA,1,3,0,4,8,0.375,0,0.5,0.125,3
Philautus juliandringi,AMPHIBIA,NT,Forest important,Stable,NA,10,400,2300,NA,0,0,0,15,15,0,0,1,0,4
Paedophryne swiftorum,AMPHIBIA,LC,Forest important,Stable,NA,10,-300,800,NA,0,18,0,0,18,1,0,0,0,2
Phrynopus lechriorhynchus,AMPHIBIA,DD,Forest important,Unknown,NA,NA,2440,3100,NA,0,0,30,0,30,0,1,0,0,24
Paedophryne titan,AMPHIBIA,LC,Forest important,Unknown,NA,NA,-300,1200,NA,24,0,0,0,24,0,0,0,1,2
Phrynopus miroslawae,AMPHIBIA,DD,Forest important,Unknown,NA,NA,3063,3663,NA,3,13,0,0,16,0.8125,0,0,0.1875,24
Paedophryne verrucosa,AMPHIBIA,LC,Forest important,Stable,NA,NA,1560,2160,NA,736,0,0,0,736,0,0,0,1,2
Oreophryne sibilans,AMPHIBIA,DD,Forest important,Unknown,NA,NA,150,1100,NA,0,0,0,8,8,0,0,1,0,3
Parhoplophryne usambarica,AMPHIBIA,CR,Forest unimportant,Unknown,NA,NA,NA,NA,NA,12,10,0,0,22,0.4545454545454546,0,0,0.5454545454545454,32
Phrynopus tribulosus,AMPHIBIA,LC,Forest important,Stable,NA,10,2300,2900,NA,1,20,0,0,21,0.9523809523809524,0,0,0.04761904761904761,2
Phrynopus unchog,AMPHIBIA,DD,Forest important,Unknown,NA,NA,2976,3777,NA,11,0,0,0,11,0,0,0,1,11
Pristimantis sagittulus,AMPHIBIA,LC,Forest important,Stable,NA,602.9,1750,3065,NA,89,30,0,0,119,0.25210084033613445,0,0,0.7478991596638656,2
Phrynopus vestigiatus,AMPHIBIA,EN,Forest important,Decreasing,NA,82.5,2696,3400,NA,0,0,100,0,100,0,1,0,0,16
Pristimantis salaputium,AMPHIBIA,LC,Forest important,Unknown,NA,66.39,1400,2000,NA,34,3,0,0,37,0.08108108108108109,0,0,0.918918918918919,2
