Country,Covar,MeanValue
MMR,buff10_travelTime,765.160839846197
MMR,buff10_popDens,69.6450747643559
MYS,IPL_elevation,366.273547894993
MYS,IPL_slope,7.21072717117473
MYS,IPL_travelTime,537.59877385659
MYS,IPL_popDens,57.5584908207902
MYS,buff10_elevation,165.254304179827
MYS,buff10_slope,4.37375800371254
MYS,buff10_travelTime,2147.57398237909
MYS,buff10_popDens,194.414405245034
NCL,IPL_elevation,160.791059304454
NCL,IPL_slope,6.66719812798517
NCL,IPL_travelTime,5172.55800295399
NCL,IPL_popDens,6.66732639398642
NCL,buff10_elevation,223.531961342107
NCL,buff10_slope,8.33573948405246
NCL,buff10_travelTime,8289.03066249533
NCL,buff10_popDens,22.4242522493015
NGA,IPL_elevation,377.452729696556
NGA,IPL_slope,1.44776005060228
NGA,IPL_travelTime,51.5959572289999
NGA,IPL_popDens,163.928120742425
NGA,buff10_elevation,265.671532032963
NGA,buff10_slope,1.64651677686629
NGA,buff10_travelTime,399.731555003576
NGA,buff10_popDens,422.636672098292
NIC,IPL_elevation,149.325706394828
NIC,IPL_slope,2.3980132432727
NIC,IPL_travelTime,1162.01972561222
NIC,IPL_popDens,36.9099871544422
NIC,buff10_elevation,328.546652865087
NIC,buff10_slope,4.18489900363687
NIC,buff10_travelTime,2563.52810573217
NIC,buff10_popDens,133.635227517133
NPL,IPL_elevation,2394.68643217476
NPL,IPL_slope,17.9536644479473
NPL,IPL_travelTime,259.570195377285
NPL,IPL_popDens,271.507907053111
NPL,buff10_elevation,606.174326190426
NPL,buff10_slope,9.67294435489184
NPL,buff10_travelTime,48.5593028088631
NPL,buff10_popDens,304.191145538538
PAK,IPL_elevation,833.125520916057
PAK,IPL_slope,4.19539010116082
PAK,IPL_travelTime,260.598997738121
PAK,IPL_popDens,125.715191965347
PAK,buff10_elevation,619.36338119895
PAK,buff10_slope,3.88866732126824
PAK,buff10_travelTime,1743.17759199029
PAK,buff10_popDens,277.141867244635
PAN,IPL_elevation,419.606440857011
PAN,IPL_slope,8.30382271330489
PAN,IPL_travelTime,1588.73614224752
PAN,IPL_popDens,16.0944005140932
PAN,buff10_elevation,195.327644709523
PAN,buff10_slope,4.74515009114912
PAN,buff10_travelTime,5073.905875035
PAN,buff10_popDens,37.8610430482703
PER,IPL_elevation,1266.4393521295
PER,IPL_slope,7.35727196535004
PER,IPL_travelTime,902.961702120596
PER,IPL_popDens,20.6375409271017
PER,buff10_elevation,1521.77500626038
PER,buff10_slope,8.35274191428493
PER,buff10_travelTime,697.877771653169
PER,buff10_popDens,44.1190440659328
PHL,IPL_elevation,637.821367270559
PHL,IPL_slope,11.4328852942812
PHL,IPL_travelTime,787.542430794104
PHL,IPL_popDens,107.387036570032
PHL,buff10_elevation,371.43011050872
PHL,buff10_slope,7.39354576244187
PHL,buff10_travelTime,1952.32756194734
PHL,buff10_popDens,317.689530093156
PRY,IPL_elevation,257.765708610294
PRY,IPL_slope,2.2270818869724
PRY,IPL_travelTime,106.327398300065
PRY,IPL_popDens,19.1460576660312
PRY,buff10_elevation,257.861881505265
PRY,buff10_slope,1.84007434300216
PRY,buff10_travelTime,92.0064062358314
PRY,buff10_popDens,35.3260662543481
RWA,IPL_elevation,2262.77179187923
RWA,IPL_slope,8.45932913572335
RWA,IPL_travelTime,42.3221444511943
RWA,IPL_popDens,795.664495845279
RWA,buff10_elevation,1816.44337760069
RWA,buff10_slope,7.76796132191678
RWA,buff10_travelTime,17.4018612793949
RWA,buff10_popDens,679.884656427185
SLV,IPL_elevation,497.288728680601
SLV,IPL_slope,6.50396600633462
SLV,IPL_travelTime,387.76776768024
SLV,IPL_popDens,390.056186748589
SLV,buff10_elevation,460.162223350789
SLV,buff10_slope,6.25779206925157
SLV,buff10_travelTime,951.580483289196
SLV,buff10_popDens,395.862681867826
SUR,IPL_elevation,167.859862687006
SUR,IPL_slope,2.08053008520761
SUR,IPL_travelTime,1764.66293516344
SUR,IPL_popDens,2.27917713543839
SUR,buff10_elevation,170.894339325987
SUR,buff10_slope,2.3318359839722
SUR,buff10_travelTime,1724.17080387058
SUR,buff10_popDens,7.86230378136837
TGO,IPL_elevation,248.044247410756
TGO,IPL_slope,1.52465399107273
TGO,IPL_travelTime,41.2146599052824
TGO,IPL_popDens,108.904991897319
TGO,buff10_elevation,287.219986046847
TGO,buff10_slope,1.58794799675269
TGO,buff10_travelTime,46.5013045651777
TGO,buff10_popDens,86.6565127615407
THA,IPL_elevation,342.237831309764
THA,IPL_slope,4.46709004414514
THA,IPL_travelTime,256.073433626801
THA,IPL_popDens,102.969061419915
THA,buff10_elevation,171.183389181756
THA,buff10_slope,2.19189330252714
THA,buff10_travelTime,1072.2710539839
THA,buff10_popDens,213.890771284176
TWN,IPL_elevation,696.383874132353
TWN,IPL_slope,15.0233291727921
TWN,IPL_travelTime,1161.53065002661
TWN,IPL_popDens,98.9232464634084
TWN,buff10_elevation,800.957518322982
TWN,buff10_slope,15.2808029042747
TWN,buff10_travelTime,1105.06495948062
TWN,buff10_popDens,265.807603569161
TZA,IPL_elevation,1320.06474591404
TZA,IPL_slope,2.6141302108129
TZA,IPL_travelTime,132.216709057906
TZA,IPL_popDens,47.0006465813233
TZA,buff10_elevation,1133.40609888256
TZA,buff10_slope,1.96710483979864
TZA,buff10_travelTime,94.6971968804463
TZA,buff10_popDens,64.439168406468
UGA,IPL_elevation,1389.27854515232
UGA,IPL_slope,3.32375731360046
UGA,IPL_travelTime,87.0730515446459
UGA,IPL_popDens,70.0778462971326
UGA,buff10_elevation,1323.11178708488
UGA,buff10_slope,4.26369965336168
UGA,buff10_travelTime,49.4208178664434
UGA,buff10_popDens,292.389933793672
USA,IPL_elevation,1606.7596278165
USA,IPL_slope,5.76725631977726
USA,IPL_travelTime,242.2589875515
USA,IPL_popDens,9.37879342486176
USA,buff10_elevation,1175.37100348489
USA,buff10_slope,6.06043904874973
USA,buff10_travelTime,1747.52807938253
USA,buff10_popDens,84.6587437016408
VEN,IPL_elevation,383.453206340327
VEN,IPL_slope,3.76021250528051
