Scenario,Country,Taxa,Area,Value,pValue
IR,CHN,All,buff50,2.14052216860815E-07,0
IR,CHN,All,out,7.85085325924204E-07,0
IR,CHN,Amphibia,buff10,-3.19347752027608E-06,0.101
IR,CHN,Aves,buff10,1.4493409686857E-07,0
IR,CHN,Mammalia,buff10,3.25269172517635E-07,0.007
IR,CHN,Reptilia,buff10,-5.56909814035467E-07,0.015
IR,CIV,All,buff10,-3.7430631485246E-08,0
IR,CIV,All,buff50,-1.25763190754461E-07,0
IR,CIV,All,out,-5.18649538121583E-07,0
IR,CIV,Amphibia,buff10,0,1
IR,CIV,Aves,buff10,-3.11810162124507E-08,0
IR,CIV,Mammalia,buff10,2.89369954318874E-08,0
IR,CIV,Reptilia,buff10,-4.06416077903652E-07,0
IR,CMR,All,buff10,3.89792352740096E-07,0
IR,CMR,All,buff50,4.91300223823355E-07,0
IR,CMR,All,out,3.86531437510261E-07,0
IR,CMR,Amphibia,buff10,-6.90561893900608E-07,0
IR,CMR,Aves,buff10,2.14830735667633E-07,0
IR,CMR,Mammalia,buff10,2.81565990283299E-06,0
IR,CMR,Reptilia,buff10,4.92473358979727E-07,0.002
IR,COD,All,buff10,-2.5897158488576E-07,0
IR,COD,All,buff50,-3.7768029290701E-08,0
IR,COD,All,out,2.11333047370312E-07,0
IR,COD,Amphibia,buff10,-1.95061700995992E-06,0
IR,COD,Aves,buff10,-2.16574949778288E-07,0
IR,COD,Mammalia,buff10,-4.07384666896209E-07,0
IR,COD,Reptilia,buff10,-9.1301302065461E-07,0
IR,COG,All,buff10,-8.94789866870661E-09,0
IR,COG,All,buff50,1.26743819370403E-08,0
IR,COG,All,out,5.79141281325287E-08,0
IR,COG,Amphibia,buff10,-2.68918236049118E-08,0
IR,COG,Aves,buff10,-4.94067518067107E-09,0
IR,COG,Mammalia,buff10,-3.58460446205443E-08,0
IR,COG,Reptilia,buff10,-1.08795270307377E-08,0
IR,COL,All,buff10,-2.41977907524066E-06,0
IR,COL,All,buff50,-2.90841144821356E-06,0
IR,COL,All,out,-3.03426620703627E-06,0
IR,COL,Amphibia,buff10,-1.8673756205445E-05,0
IR,COL,Aves,buff10,-1.61011890572388E-06,0
IR,COL,Mammalia,buff10,-1.74378103334109E-06,0
IR,COL,Reptilia,buff10,-5.59675026250103E-06,0
IR,CRI,All,buff10,1.03553848847612E-05,0
IR,CRI,All,buff50,9.42156528068791E-06,0
IR,CRI,All,out,9.63221560324744E-06,0
IR,CRI,Amphibia,buff10,0.000133180387986,0
IR,CRI,Aves,buff10,6.09725295702787E-06,0
IR,CRI,Mammalia,buff10,1.82274859174495E-06,0
IR,CRI,Reptilia,buff10,5.37943120513604E-06,0
IR,DMA,All,buff10,-4.86950463178341E-05,0.167
IR,DMA,All,buff50,-4.91821314611548E-05,0.236
IR,DMA,All,out,NA,NA
IR,DMA,Amphibia,buff10,-0.000894228828176,0.083
IR,DMA,Aves,buff10,-2.86355035856488E-05,0.243
IR,DMA,Mammalia,buff10,0,1
IR,DMA,Reptilia,buff10,0.000327022358898,0.037
IR,ECU,All,buff10,-5.78350785022054E-06,0
IR,ECU,All,buff50,-7.83556512476683E-06,0
IR,ECU,All,out,-7.41040499854559E-06,0
IR,ECU,Amphibia,buff10,-2.87342903735937E-05,0
IR,ECU,Aves,buff10,-4.3397743969284E-06,0
IR,ECU,Mammalia,buff10,-3.23388888910156E-06,0
IR,ECU,Reptilia,buff10,-3.72281695793E-05,0
IR,ETH,All,buff10,1.00219142915784E-06,0
IR,ETH,All,buff50,1.22469087973694E-06,0
IR,ETH,All,out,1.4712154433847E-06,0
IR,ETH,Amphibia,buff10,0,1
IR,ETH,Aves,buff10,7.6464146366252E-07,0
IR,ETH,Mammalia,buff10,2.9434798494549E-08,0.955
IR,ETH,Reptilia,buff10,9.87888494507913E-06,0
IR,GAB,All,buff10,-9.97546450393553E-09,0
IR,GAB,All,buff50,-1.20817486631742E-08,0
IR,GAB,All,out,-1.14053871442192E-08,0
IR,GAB,Amphibia,buff10,-1.06500785658203E-08,0
IR,GAB,Aves,buff10,-2.5809608611613E-09,0
IR,GAB,Mammalia,buff10,7.70158023773864E-08,0
IR,GAB,Reptilia,buff10,-3.30143571761338E-07,0
IR,GTM,All,buff10,1.40914827408858E-06,0.018
IR,GTM,All,buff50,3.96422343101756E-06,0
IR,GTM,All,out,4.87712637553235E-06,0
IR,GTM,Amphibia,buff10,-0.000101808195556,0.001
IR,GTM,Aves,buff10,7.1601557584042E-07,0
IR,GTM,Mammalia,buff10,5.25177116901076E-06,0.003
IR,GTM,Reptilia,buff10,2.34828799266468E-05,0.037
IR,GUF,All,buff10,-1.51347879322676E-07,0
IR,GUF,All,buff50,-7.94136703771707E-08,0
IR,GUF,All,out,-6.87533101257231E-08,0
IR,GUF,Amphibia,buff10,-4.80318562792712E-06,0
IR,GUF,Aves,buff10,-3.09747176949982E-08,0
IR,GUF,Mammalia,buff10,-2.15924624140106E-07,0
IR,GUF,Reptilia,buff10,-6.17711036026092E-07,0
IR,GUY,All,buff10,1.35624907800792E-07,0.005
IR,GUY,All,buff50,2.47152366527988E-07,0
IR,GUY,All,out,3.03254523323974E-07,0
IR,GUY,Amphibia,buff10,5.26187074043276E-06,0.141
IR,GUY,Aves,buff10,8.58095376267865E-08,0
IR,GUY,Mammalia,buff10,4.6543748674777E-08,0
IR,GUY,Reptilia,buff10,3.99122960596484E-07,0.006
IR,HND,All,buff10,6.85242572741896E-07,0.504
IR,HND,All,buff50,2.64771269624685E-06,0
IR,HND,All,out,2.8538273304198E-06,0
IR,HND,Amphibia,buff10,2.53289374066303E-05,0.009
IR,HND,Aves,buff10,9.69384346178768E-08,0
IR,HND,Mammalia,buff10,-5.52529462466884E-06,0.239
IR,HND,Reptilia,buff10,1.22994178608497E-05,0.141
IR,IDN,All,buff10,2.12676668284867E-07,0
IR,IDN,All,buff50,1.07348414279256E-06,0
IR,IDN,All,out,4.82144891576663E-07,0
IR,IDN,Amphibia,buff10,9.62465100658046E-06,0
IR,IDN,Aves,buff10,-1.29583410958025E-07,0
IR,IDN,Mammalia,buff10,1.90948927019029E-06,0
IR,IDN,Reptilia,buff10,-8.84851991310918E-07,0
IR,IND,All,buff10,-1.27009506593125E-06,0
IR,IND,All,buff50,-1.34161367026051E-06,0
IR,IND,All,out,-5.76769012906801E-06,0
IR,IND,Amphibia,buff10,1.23255959761148E-05,0
IR,IND,Aves,buff10,-6.11032360525422E-07,0
IR,IND,Mammalia,buff10,-6.84624376873935E-06,0
IR,IND,Reptilia,buff10,-5.27920944805494E-06,0
IR,KEN,All,buff10,2.39043791814729E-06,0.001
IR,KEN,All,buff50,3.17462537333706E-06,0
IR,KEN,All,out,1.31524058911037E-07,0.759
IR,KEN,Amphibia,buff10,0,1
IR,KEN,Aves,buff10,4.84422577182112E-07,0
IR,KEN,Mammalia,buff10,8.29633042857945E-06,0
IR,KEN,Reptilia,buff10,7.19719567622951E-05,0.043
IR,KHM,All,buff10,5.83027041645919E-07,0
IR,KHM,All,buff50,8.20157733435196E-07,0
IR,KHM,All,out,8.94738444122859E-07,0
IR,KHM,Amphibia,buff10,5.11002805806034E-06,0
IR,KHM,Aves,buff10,1.13077509902131E-07,0
IR,KHM,Mammalia,buff10,6.00266354125935E-07,0
IR,KHM,Reptilia,buff10,5.94121276481336E-06,0
IR,LAO,All,buff10,3.41728697324617E-07,0
IR,LAO,All,buff50,3.42444665584693E-07,0
IR,LAO,All,out,NA,NA
IR,LAO,Amphibia,buff10,3.83048969218373E-06,0.007
IR,LAO,Aves,buff10,2.14248175807157E-07,0
IR,LAO,Mammalia,buff10,9.24903844556946E-07,0
IR,LAO,Reptilia,buff10,5.43033456359296E-07,0.387
IR,LKA,All,buff10,-4.38621102298209E-08,0.175
IR,LKA,All,buff50,-1.04283794030635E-05,0
IR,LKA,All,out,-1.28035740502771E-05,0
IR,LKA,Amphibia,buff10,0,1
IR,LKA,Aves,buff10,1.13635489405902E-08,0.682
IR,LKA,Mammalia,buff10,-2.99874635788234E-06,0
IR,LKA,Reptilia,buff10,-8.26386195341303E-07,0.005
IR,MEX,All,buff10,-6.02035927727648E-07,0
IR,MEX,All,buff50,5.21202594341923E-08,0.484
IR,MEX,All,out,4.05711720518016E-07,0
IR,MEX,Amphibia,buff10,2.05599141157535E-05,0
IR,MEX,Aves,buff10,-7.50641590710962E-07,0
IR,MEX,Mammalia,buff10,-4.81354441899484E-06,0
IR,MEX,Reptilia,buff10,7.01425866464642E-06,0
IR,MMR,All,buff10,-3.30420204642032E-08,0
IR,MMR,All,buff50,-4.96661595977193E-08,0
IR,MMR,All,out,-7.09410319356926E-08,0
IR,MMR,Amphibia,buff10,-8.23091438600399E-07,0
IR,MMR,Aves,buff10,1.26723361907226E-07,0
IR,MMR,Mammalia,buff10,9.22928133129374E-07,0
IR,MMR,Reptilia,buff10,-3.41084142380143E-06,0
IR,MYS,All,buff10,1.61218862553766E-06,0
IR,MYS,All,buff50,1.39028295662621E-06,0
IR,MYS,All,out,9.99351528432976E-07,0
IR,MYS,Amphibia,buff10,3.71456797148853E-05,0
IR,MYS,Aves,buff10,5.35972553294759E-07,0
IR,MYS,Mammalia,buff10,4.94064999300731E-07,0
IR,MYS,Reptilia,buff10,3.17880948433555E-06,0.024
IR,NCL,All,buff10,-5.74454635747011E-06,0.304
IR,NCL,All,buff50,-5.06306596763794E-06,0.366
IR,NCL,All,out,NA,NA
IR,NCL,Amphibia,buff10,0,1
IR,NCL,Aves,buff10,9.19164258584538E-06,0
IR,NCL,Mammalia,buff10,-1.7008157525544E-06,0
IR,NCL,Reptilia,buff10,-0.000356516329523,0
IR,NGA,All,buff10,5.56882098042537E-07,0
IR,NGA,All,buff50,6.17460985814913E-07,0
IR,NGA,All,out,6.27227348052219E-07,0
IR,NGA,Amphibia,buff10,-2.44634419492934E-07,0
IR,NGA,Aves,buff10,8.20342920279418E-07,0
IR,NGA,Mammalia,buff10,-2.0843325216343E-06,0
IR,NGA,Reptilia,buff10,-1.77871632574281E-06,0
IR,NIC,All,buff10,-1.91116273635087E-06,0
IR,NIC,All,buff50,-1.35693087114201E-05,0
IR,NIC,All,out,-1.17086417862608E-05,0
IR,NIC,Amphibia,buff10,-3.30762310538927E-05,0
IR,NIC,Aves,buff10,-6.13043225365917E-07,0
IR,NIC,Mammalia,buff10,-2.35091008373756E-07,0
IR,NIC,Reptilia,buff10,-2.00091068149508E-05,0
IR,NPL,All,buff10,1.47549136528094E-06,0
IR,NPL,All,buff50,1.46454535604751E-06,0
IR,NPL,All,out,1.46452337429589E-06,NA
IR,NPL,Amphibia,buff10,0,1
IR,NPL,Aves,buff10,1.05421388576426E-06,0
IR,NPL,Mammalia,buff10,1.52259259632743E-05,0
IR,NPL,Reptilia,buff10,4.92432564128457E-07,0
IR,PAK,All,buff10,8.75140877624921E-06,0
IR,PAK,All,buff50,1.05637509333487E-05,0
IR,PAK,All,out,8.55260872909001E-06,0
IR,PAK,Amphibia,buff10,0,1
IR,PAK,Aves,buff10,9.11656623324026E-06,0
IR,PAK,Mammalia,buff10,-5.66190992072128E-06,0.008
IR,PAK,Reptilia,buff10,0,1
IR,PAN,All,buff10,-9.64811354008613E-07,0.03
IR,PAN,All,buff50,1.53139147748192E-06,0
IR,PAN,All,out,2.13512444119018E-06,0
IR,PAN,Amphibia,buff10,-2.3668411145456E-05,0.002
IR,PAN,Aves,buff10,2.71913867779571E-06,0
IR,PAN,Mammalia,buff10,2.21977232656238E-06,0
IR,PAN,Reptilia,buff10,-6.94579244193416E-06,0.086
IR,PER,All,buff10,-2.2350053899501E-06,0
IR,PER,All,buff50,-1.71967464751834E-06,0
IR,PER,All,out,-1.63310592401644E-06,0
IR,PER,Amphibia,buff10,-3.1100772322526E-05,0
IR,PER,Aves,buff10,-1.76082903656931E-06,0
IR,PER,Mammalia,buff10,-4.99502525317668E-07,0
IR,PER,Reptilia,buff10,-4.65566080802346E-06,0
IR,PHL,All,buff10,3.79196285566241E-06,0
IR,PHL,All,buff50,3.34401752385429E-06,0
IR,PHL,All,out,1.70359197571139E-06,0
IR,PHL,Amphibia,buff10,5.06903577662492E-06,0
IR,PHL,Aves,buff10,1.51409556401192E-06,0
IR,PHL,Mammalia,buff10,2.249066909596E-05,0
IR,PHL,Reptilia,buff10,1.3326913036764E-05,0.001
IR,PRY,All,buff10,1.9069762767303E-07,0
IR,PRY,All,buff50,3.51966380181653E-07,0
IR,PRY,All,out,6.09579810199274E-07,0
IR,PRY,Amphibia,buff10,5.48366679065397E-07,0.002
IR,PRY,Aves,buff10,1.96372076059973E-07,0
IR,PRY,Mammalia,buff10,1.43799550583807E-07,0
IR,PRY,Reptilia,buff10,1.24534704347086E-07,0.003
IR,RWA,All,buff10,2.89247162877065E-06,0
IR,RWA,All,buff50,2.72655183337597E-06,0
IR,RWA,All,out,3.77301474999853E-06,0
IR,RWA,Amphibia,buff10,3.99719188707014E-05,0
IR,RWA,Aves,buff10,1.4918602958063E-06,0
IR,RWA,Mammalia,buff10,1.31022896011225E-05,0
IR,RWA,Reptilia,buff10,-8.33874075579988E-06,0
IR,SLV,All,buff10,-1.71690772017007E-06,0
IR,SLV,All,buff50,-1.38089606649175E-06,0
IR,SLV,All,out,NA,NA
IR,SLV,Amphibia,buff10,-0.000109760579031,0
IR,SLV,Aves,buff10,-3.50019564379499E-08,0.018
IR,SLV,Mammalia,buff10,-1.29010552654316E-07,0
IR,SLV,Reptilia,buff10,-2.04742039806487E-05,0
IR,SUR,All,buff10,-6.17245626576539E-08,0
IR,SUR,All,buff50,-7.60576068991257E-08,0
IR,SUR,All,out,-7.60264257071506E-08,0
IR,SUR,Amphibia,buff10,-8.84394004223584E-07,0.416
IR,SUR,Aves,buff10,-1.89467336179726E-08,0
IR,SUR,Mammalia,buff10,1.82138108662191E-09,0
IR,SUR,Reptilia,buff10,-3.8787447293755E-07,0
IR,TGO,All,buff10,-4.79866417799181E-07,0
IR,TGO,All,buff50,-3.13207177021294E-07,0
IR,TGO,All,out,-1.50135743774027E-06,0.081
IR,TGO,Amphibia,buff10,0,1
IR,TGO,Aves,buff10,-8.12768426106642E-08,0
IR,TGO,Mammalia,buff10,-4.55078731999048E-06,0
IR,TGO,Reptilia,buff10,6.64797987664792E-08,0.037
IR,THA,All,buff10,-1.64649443684394E-07,0.001
IR,THA,All,buff50,-1.09396479947E-07,0.003
IR,THA,All,out,-1.06515634078802E-07,0
IR,THA,Amphibia,buff10,2.16278765994663E-06,0
IR,THA,Aves,buff10,4.83353763398477E-08,0
IR,THA,Mammalia,buff10,1.8428519549835E-07,0.998
IR,THA,Reptilia,buff10,-2.60457653850781E-06,0
IR,TWN,All,buff10,-1.33073334303954E-06,0
IR,TWN,All,buff50,-4.88903267701237E-07,0
IR,TWN,All,out,-5.21515061781378E-07,0
IR,TWN,Amphibia,buff10,6.73881539838113E-06,0
IR,TWN,Aves,buff10,-1.00315236695547E-06,0
IR,TWN,Mammalia,buff10,-5.44198376393809E-06,0
IR,TWN,Reptilia,buff10,-4.01037986215855E-06,0
IR,TZA,All,buff10,-6.38102555369211E-07,0.001
IR,TZA,All,buff50,2.52006474666901E-07,0.731
IR,TZA,All,out,5.22805683830657E-06,0
IR,TZA,Amphibia,buff10,-1.569651776109E-06,0.263
IR,TZA,Aves,buff10,1.97864644273361E-07,0.043
IR,TZA,Mammalia,buff10,-1.16320101284493E-05,0
IR,TZA,Reptilia,buff10,5.59392066968128E-06,0.53
IR,UGA,All,buff10,2.41921147025613E-06,0
IR,UGA,All,buff50,3.51880979271279E-06,0
IR,UGA,All,out,5.45376134986309E-06,0
IR,UGA,Amphibia,buff10,9.55840531085019E-06,0
